x,y,z
-20,-20,-120
-19.595959595959595,-20,-118.58585858585859
-19.19191919191919,-20,-117.17171717171716
-18.78787878787879,-20,-115.75757575757576
-18.383838383838384,-20,-114.34343434343434
-17.97979797979798,-20,-112.92929292929293
-17.575757575757574,-20,-111.5151515151515
-17.171717171717173,-20,-110.1010101010101
-16.767676767676768,-20,-108.68686868686869
-16.363636363636363,-20,-107.27272727272728
-15.959595959595958,-20,-105.85858585858585
-15.555555555555555,-20,-104.44444444444444
-15.151515151515152,-20,-103.03030303030303
-14.747474747474747,-20,-101.61616161616162
-14.343434343434343,-20,-100.20202020202021
-13.93939393939394,-20,-98.78787878787878
-13.535353535353536,-20,-97.37373737373738
-13.131313131313131,-20,-95.95959595959596
-12.727272727272727,-20,-94.54545454545455
-12.323232323232324,-20,-93.13131313131314
-11.919191919191919,-20,-91.71717171717171
-11.515151515151516,-20,-90.30303030303031
-11.11111111111111,-20,-88.88888888888889
-10.707070707070708,-20,-87.47474747474747
-10.303030303030303,-20,-86.06060606060606
-9.8989898989899,-20,-84.64646464646465
-9.494949494949495,-20,-83.23232323232324
-9.090909090909092,-20,-81.81818181818181
-8.686868686868687,-20,-80.4040404040404
-8.282828282828284,-20,-78.98989898989899
-7.878787878787879,-20,-77.57575757575758
-7.474747474747476,-20,-76.16161616161617
-7.070707070707071,-20,-74.74747474747474
-6.666666666666666,-20,-73.33333333333333
-6.262626262626263,-20,-71.91919191919192
-5.858585858585858,-20,-70.5050505050505
-5.454545454545455,-20,-69.0909090909091
-5.05050505050505,-20,-67.67676767676767
-4.646464646464647,-20,-66.26262626262627
-4.242424242424242,-20,-64.84848484848484
-3.8383838383838373,-20,-63.43434343434343
-3.434343434343436,-20,-62.02020202020203
-3.030303030303031,-20,-60.60606060606061
-2.6262626262626263,-20,-59.19191919191919
-2.2222222222222214,-20,-57.77777777777777
-1.8181818181818201,-20,-56.363636363636374
-1.4141414141414153,-20,-54.949494949494955
-1.0101010101010104,-20,-53.535353535353536
-0.6060606060606055,-20,-52.12121212121212
-0.20202020202020066,-20,-50.7070707070707
0.20202020202020066,-20,-49.2929292929293
0.6060606060606055,-20,-47.87878787878788
1.0101010101010104,-20,-46.464646464646464
1.4141414141414153,-20,-45.050505050505045
1.8181818181818166,-20,-43.63636363636364
2.2222222222222214,-20,-42.22222222222223
2.6262626262626263,-20,-40.80808080808081
3.030303030303031,-20,-39.39393939393939
3.4343434343434325,-20,-37.979797979797986
3.8383838383838373,-20,-36.56565656565657
4.242424242424242,-20,-35.151515151515156
4.646464646464647,-20,-33.73737373737374
5.050505050505048,-20,-32.32323232323233
5.454545454545453,-20,-30.909090909090914
5.858585858585858,-20,-29.494949494949495
6.262626262626263,-20,-28.08080808080808
6.666666666666668,-20,-26.666666666666664
7.070707070707069,-20,-25.25252525252526
7.474747474747474,-20,-23.83838383838384
7.878787878787879,-20,-22.424242424242422
8.282828282828284,-20,-21.010101010101007
8.686868686868685,-20,-19.595959595959602
9.09090909090909,-20,-18.181818181818187
9.494949494949495,-20,-16.767676767676768
9.8989898989899,-20,-15.35353535353535
10.303030303030301,-20,-13.939393939393945
10.707070707070706,-20,-12.525252525252526
11.11111111111111,-20,-11.111111111111114
11.515151515151516,-20,-9.696969696969695
11.919191919191917,-20,-8.28282828282829
12.323232323232325,-20,-6.868686868686865
